Topic	No	ID	Sentence	Type	LinkAudio
Shopping	7.5	7.5Eng	How much does this pair of shoes?	Eng	https://luandai123.github.io/English_Daily/3.7.5-Eng.mp3
Shopping	7.5	7.5Phon	haʊ mʌʧ dʌz ðɪs pɛr ʌv ʃu:z	Phon	
Shopping	7.6	7.6Viet	Ly cà phê này giá bao nhiêu?	Viet	
Shopping	7.6	7.6Eng	How much does this cup of coffee?	Eng	https://luandai123.github.io/English_Daily/3.7.6-Eng.mp3
Shopping	7.6	7.6Phon	haʊ mʌʧ dʌz ðɪs kʌp ʌv ˈka:fi	Phon	
Shopping	8	8Struc	WHAT A RIP-OFF! /Đúng là cắt cổ/Đúng là mua hớ rồi!/	Struc	
Shopping	8.1	8.1Viet	60,000 một ly cà phê hả, đúng là cắt cổ!	Viet	
Shopping	8.1	8.1Eng	60,000 dong for a cup of coffee, what a rip-off!	Eng	https://luandai123.github.io/English_Daily/3.8.1-Eng.mp3
Shopping	8.1	8.1Phon	ˈsɪksti ˈθaʊzənd da:ŋ fɔ:r ə kʌp ʌv ˈka:fi wʌt ə rɪp a:f	Phon	
Shopping	8.2	8.2Viet	600 đô la cho khoá học đó hả, đúng là cắt cổ!	Viet	
Shopping	8.2	8.2Eng	600 dollars for this course, what a rip-off!	Eng	https://luandai123.github.io/English_Daily/3.8.2-Eng.mp3
Shopping	8.2	8.2Phon	sɪks ˈhʌndrəd ˈda:lərz fɔ:r ðɪs kɔ:rs wʌt ə rɪp a:f	Phon	
Shopping	8.3	8.3Viet	2 triệu cho đôi giày này hả, đúng là cắt cổ!	Viet	
Shopping	8.3	8.3Eng	2 million VND for this pair of shoes, what a rip-off!	Eng	https://luandai123.github.io/English_Daily/3.8.3-Eng.mp3
Shopping	8.3	8.3Phon	tu: ˈmɪljən vjetˈnæm da:ŋ fɔ:r ðɪs pɛr ʌv ʃu:z wʌt ə rɪp a:f	Phon	
Shopping	8.4	8.4Viet	200,000 cho món ăn này hả, sao cắt cổ vậy!	Viet	
Shopping	8.4	8.4Eng	200,000 dong for this dish, what a rip-off!	Eng	https://luandai123.github.io/English_Daily/3.8.4-Eng.mp3
Shopping	8.4	8.4Phon	tu: ˈhʌndrəd ˈθaʊzənd da:ŋ fɔ:r ðɪs dɪʃ wʌt ə rɪp a:f	Phon	
Shopping	9	9Struc	THE PRICE IS… /Giá này.../	Struc	
Shopping	9.1	9.1Viet	Mức giá này vượt quá túi tiền của tôi rồi.	Viet	
Shopping	9.1	9.1Eng	This price is not within my budget.	Eng	https://luandai123.github.io/English_Daily/3.9.1-Eng.mp3
Shopping	9.1	9.1Phon	ðɪs praɪs ɪz na:t wɪˈðɪn maɪ ˈbʌʤɪt	Phon	
Shopping	9.2	9.2Viet	Giá này có thể thương lượng.	Viet	
Shopping	9.2	9.2Eng	This price is negotiable.	Eng	https://luandai123.github.io/English_Daily/3.9.2-Eng.mp3
Shopping	9.2	9.2Phon	ðɪs praɪs ɪz nəˈgoʊʃəbəl	Phon	
Shopping	9.3	9.3Viet	Mức giá này là cố định.	Viet	
Shopping	9.3	9.3Eng	The price is fixed.	Eng	https://luandai123.github.io/English_Daily/3.9.3-Eng.mp3
Shopping	9.3	9.3Phon	ðɪs praɪs ɪz fɪkst	Phon	
Shopping	9.4	9.4Viet	Giá cả có vẻ phải chăng.	Viet	
Shopping	9.4	9.4Eng	The price seems fair.	Eng	https://luandai123.github.io/English_Daily/3.9.4-Eng.mp3
Shopping	9.4	9.4Phon	ðə praɪs si:mz fɛr	Phon	
Shopping	9.5	9.5Viet	Giá món hàng này hợp lý.	Viet	
Shopping	9.5	9.5Eng	The price of this item is reasonable.	Eng	https://luandai123.github.io/English_Daily/3.9.5-Eng.mp3
Shopping	9.5	9.5Phon	ðə praɪs ʌv ðɪs ˈaɪtəm ɪz ˈri:zənəbəl	Phon	
Shopping	10	10Struc	N + IS/ARE ON SALE /... đang được giảm giá/	Struc	
Shopping	10.1	10.1Viet	Những món hàng này đang được giảm giá.	Viet	
Shopping	10.1	10.1Eng	These items are on sale.	Eng	https://luandai123.github.io/English_Daily/3.10.1-Eng.mp3
Shopping	10.1	10.1Phon	 ði:z ˈaɪtəmz a:r a:n seɪl	Phon	
Shopping	10.2	10.2Viet	Nhiều sách giáo khoa và từ điển đang được giảm giá.	Viet	
Shopping	10.2	10.2Eng	The textbooks and dictionaries are on sale.	Eng	https://luandai123.github.io/English_Daily/3.10.2-Eng.mp3
Shopping	10.2	10.2Phon	ðə ˈtɛkstbʊks ænd ˈdɪkʃəˌnɛriz a:r a:n seɪl	Phon	
Shopping	10.3	10.3Viet	Tất cả vé được giảm giá vào thứ sáu.	Viet	
Shopping	10.3	10.3Eng	All tickets are on sale this Friday.	Eng	https://luandai123.github.io/English_Daily/3.10.3-Eng.mp3
Shopping	10.3	10.3Phon	a:l ˈtɪkɪts a:r a:n seɪl ðɪs ˈfraɪdeɪ	Phon	
Shopping	10.4	10.4Viet	Mấy đôi găng tay này đang được giảm giá.	Viet	
Shopping	10.4	10.4Eng	These gloves are on sale.	Eng	https://luandai123.github.io/English_Daily/3.10.4-Eng.mp3
Shopping	10.4	10.4Phon	ði:z glʌvz a:r a:n seɪl	Phon	
Shopping	10.5	10.5Viet	Chiếc nhẫn kim cương này đang được giảm giá.	Viet	
Shopping	10.5	10.5Eng	This diamond ring is on sale.	Eng	https://luandai123.github.io/English_Daily/3.10.5-Eng.mp3
Shopping	10.5	10.5Phon	ðɪs ˈdaɪmənd rɪŋ ɪz a:n seɪl	Phon	
Shopping	11	11Struc	N + IS/ARE + NUMBER % + OFF /Giảm giá... phần trăm/	Struc	
Shopping	11.1	11.1Viet	Giảm giá 10% tất cả các sản phẩm.	Viet	
Shopping	11.1	11.1Eng	All products are 10% off.	Eng	https://luandai123.github.io/English_Daily/3.11.1-Eng.mp3
Shopping	11.1	11.1Phon	a:l ˈpra:dʌkts a:r tɛn pərˈsɛnt a:f	Phon	
Shopping	11.2	11.2Viet	Áo khoác này đang giảm giá 50%.	Viet	
Shopping	11.2	11.2Eng	This jacket/coat is 50% off.	Eng	https://luandai123.github.io/English_Daily/3.11.2-Eng.mp3
Shopping	11.2	11.2Phon	ðɪs ˈʤækɪt/koʊt ɪz ˈfɪfti pərˈsɛnt a:f	Phon	
Shopping	11.3	11.3Viet	Cái ghế sô pha này đang giảm 30%.	Viet	
Shopping	11.3	11.3Eng	This couch/sofa is 30% off.	Eng	https://luandai123.github.io/English_Daily/3.11.3-Eng.mp3
Shopping	11.3	11.3Phon	ðɪs kaʊʧ/ˈsoʊfə ɪz ˈθɜ:rti pərˈsɛnt a:f	Phon	
Shopping	11.4	11.4Viet	Cái váy này đang giảm 40%.	Viet	
Shopping	11.4	11.4Eng	This skirt is 40% off.	Eng	https://luandai123.github.io/English_Daily/3.11.4-Eng.mp3
Shopping	11.4	11.4Phon	ðɪs skɜ:rt ɪz ˈfɔ:rti pərˈsɛnt a:f	Phon	
Shopping	11.5	11.5Viet	Khoá học tiếng Anh này đang giảm giá 15%.	Viet	
Shopping	11.5	11.5Eng	This English course is 15% off.	Eng	https://luandai123.github.io/English_Daily/3.11.5-Eng.mp3
Shopping	11.5	11.5Phon	ðɪs ˈɪŋglɪʃ kɔ:rs ɪz fɪfˈti:n pərˈsɛnt a:f	Phon	
Shopping	12	12Struc	THE PRICE TAG SAYS + GIÁ , THAT’S TOO + ADJ /Nhãn giá ghi..., vậy là quá.../	Struc	
Shopping	12.1	12.1Viet	Nhãn giá ghi 200$, vậy là quá mắc.	Viet	
Shopping	12.1	12.1Eng	The price tag says 200 dollars, that’s too expensive.	Eng	https://luandai123.github.io/English_Daily/3.12.1-Eng.mp3
Shopping	12.1	12.1Phon	ðə praɪs tæg sɛz tu: ˈhʌndrəd ˈda:lərz ðæts tu: ɪkˈspɛnsɪv	Phon	
Shopping	12.2	12.2Viet	Nhãn giá ghi 500,000, vậy là quá hợp lí.	Viet	
Shopping	12.2	12.2Eng	The price tag says 500,000 VND, that’s reasonable.	Eng	https://luandai123.github.io/English_Daily/3.12.2-Eng.mp3
Shopping	12.2	12.2Phon	ðə praɪs tæg sɛz faɪv ˈhʌndrəd ˈθaʊzənd viɛtˈnæm da:ŋ ðæts ˈri:zənəbəl	Phon	
Shopping	12.3	12.3Viet	hãn giá ghi 5$, vậy là quá rẻ.	Viet	
Shopping	12.3	12.3Eng	The price tag says 5$, that’s too cheap.	Eng	https://luandai123.github.io/English_Daily/3.12.3-Eng.mp3
Shopping	12.3	12.3Phon	ðə praɪs tæg sɛz faɪv ˈda:lərz ðæts tu: ʧi:p	Phon	
Shopping	13	13Struc	THE + NOUN + I BOUGHT WAS DAMAGED IN TRANSIT /Bị hư hại trong quá trình vận chuyển/	Struc	
Shopping	13.1	13.1Viet	Đồ nội thất tôi mua bị hư hỏng trong quá trình vận chuyển.	Viet	
Shopping	13.1	13.1Eng	The furniture I bought was damaged in transit.	Eng	https://luandai123.github.io/English_Daily/3.13.1-Eng.mp3
Shopping	13.1	13.1Phon	ðə ˈfɜ:rnɪʧər aɪ ba:t wʌz ˈdæmɪʤd ɪn ˈtrænzɪt	Phon	
Shopping	13.2	13.2Viet	Cái máy ảnh tôi mua bị hư hỏng trong quá trình vận chuyển.	Viet	
Shopping	13.2	13.2Eng	The camera I bought was damaged in transit.	Eng	https://luandai123.github.io/English_Daily/3.13.2-Eng.mp3
Shopping	13.2	13.2Phon	ðə ˈkæmrə aɪ ba:t wʌz ˈdæmɪʤd ɪn ˈtrænzɪt	Phon	
Shopping	13.3	13.3Viet	Cái loa tôi mua bị hư hỏng trong quá trình vận chuyển.	Viet	
Shopping	13.3	13.3Eng	The speaker I bought was damaged in transit.	Eng	https://luandai123.github.io/English_Daily/3.13.3-Eng.mp3
Shopping	13.3	13.3Phon	ðə ˈspi:kər aɪ ba:t wʌz ˈdæmɪʤd ɪn ˈtrænzɪt	Phon	
Shopping	13.4	13.4Viet	Đồ chơi tôi mua bị hư trong quá trình vận chuyển.	Viet	
Shopping	13.4	13.4Eng	The toy I bought was damaged in transit.	Eng	https://luandai123.github.io/English_Daily/3.13.4-Eng.mp3
Shopping	13.4	13.4Phon	ðə tɔɪ aɪ ba:t wʌz ˈdæmɪʤd ɪn ˈtrænzɪt	Phon	
Shopping	14	14Struc	I’D LIKE TO EXCHANGE + SOMETHING /Tôi muốn đổi…/	Struc	
Shopping	14.1	14.1Viet	Tôi muốn đổi món hàng này.	Viet	
Shopping	14.1	14.1Eng	I’d like to exchange this item.	Eng	https://luandai123.github.io/English_Daily/3.14.1-Eng.mp3
Shopping	14.1	14.1Phon	aɪd laɪk tu: ɪksˈʧeɪnʤ ðɪs ˈaɪtəm	Phon	
Shopping	14.2	14.2Viet	Tôi muốn đổi cái laptop tôi mua hôm qua.	Viet	
Shopping	14.2	14.2Eng	I’d like to exchange the laptop I purchased yesterday.	Eng	https://luandai123.github.io/English_Daily/3.14.2-Eng.mp3
Shopping	14.2	14.2Phon	aɪd laɪk tu: ɪksˈʧeɪnʤ ðə ˈlæpta:p aɪ ˈpɜ:rʧəst ˈjɛstərdeɪ	Phon	
Shopping	14.3	14.3Viet	Tôi muốn đổi lại cái áo sơ mi này.	Viet	
Shopping	14.3	14.3Eng	I’d like to exchange this shirt.	Eng	https://luandai123.github.io/English_Daily/3.14.3-Eng.mp3
Shopping	14.3	14.3Phon	aɪd laɪk tu: ɪksˈʧeɪnʤ ðɪs ʃɜ:rt	Phon	
Shopping	14.4	14.4Viet	Tôi muốn đổi món quà này.	Viet	
Shopping	14.4	14.4Eng	I’d like to exchange this gift.	Eng	https://luandai123.github.io/English_Daily/3.14.4-Eng.mp3
Shopping	14.4	14.4Phon	aɪd laɪk tu: ɪksˈʧeɪnʤ ðɪs gɪft	Phon	
Shopping	15	15Struc	I PLACE AN ORDER FOR A + NOUN + ONLINE /Tôi đặt mua... trên mạng/	Struc	
Shopping	15.1	15.1Viet	Tôi đặt mua một chiếc điện thoại mới trên mạng.	Viet	
Shopping	15.1	15.1Eng	I place an order for a new phone online.	Eng	https://luandai123.github.io/English_Daily/3.15.1-Eng.mp3
Shopping	15.1	15.1Phon	aɪ pleɪs ən ˈɔ:rdər fɔ:r ə nu: foʊn aːnˈlaɪn	Phon	
Shopping	15.2	15.2Viet	Tôi đặt mua đôi giày bệt này trên mạng.	Viet	
Shopping	15.2	15.2Eng	I place an order for this flats online.	Eng	https://luandai123.github.io/English_Daily/3.15.2-Eng.mp3
Shopping	15.2	15.2Phon	aɪ pleɪs ən ˈɔ:rdər fɔ:r ðɪs flæts aːnˈlaɪn	Phon	
Shopping	15.3	15.3Viet	Tôi đặt mua một cái đầm dạ hội trên mạng.	Viet	
Shopping	15.3	15.3Eng	I place an order for gown online.	Eng	https://luandai123.github.io/English_Daily/3.15.3-Eng.mp3
Shopping	15.3	15.3Phon	aɪ pleɪs ən ˈɔ:rdər fɔ:r gaʊn aːnˈlaɪn	Phon	
Shopping	15.4	15.4Viet	Tôi đặt mua kem dưỡng da ban ngày trên mạng.	Viet	
Shopping	15.4	15.4Eng	I place an order for day cream online.	Eng	https://luandai123.github.io/English_Daily/3.15.4-Eng.mp3
Shopping	15.4	15.4Phon	aɪ pleɪs ən ˈɔ:rdər fɔ:r deɪ kri:m aːnˈlaɪn	Phon	
Shopping	15.5	15.5Viet	Tôi đặt mua sữa rửa mặt trên mạng.	Viet	
Shopping	15.5	15.5Eng	I place an order for face wash online.	Eng	https://luandai123.github.io/English_Daily/3.15.5-Eng.mp3
Shopping	15.5	15.5Phon	aɪ pleɪs ən ˈɔ:rdər fɔ:r feɪs wa:ʃ aːnˈlaɪn	Phon	
Shopping	16	16Struc	SORRY, THIS... IS OUT OF STOCK /Xin lỗi, ... này đã hết/	Struc	
Shopping	16.1	16.1Viet	Xin lỗi, món này đã hết hàng rồi.	Viet	
Shopping	16.1	16.1Eng	Sorry, this item is currently out of stock.	Eng	https://luandai123.github.io/English_Daily/3.16.1-Eng.mp3
Shopping	16.1	16.1Phon	ˈsa:ri ðɪs ˈaɪtəm ɪz ˈkɜ:rəntli aʊt ʌv sta:k	Phon	
Shopping	16.2	16.2Viet	Xin lỗi, đôi bông tai này hết rồi.	Viet	
Shopping	16.2	16.2Eng	Sorry, these earrings are currently out of stock.	Eng	https://luandai123.github.io/English_Daily/3.16.2-Eng.mp3
Shopping	16.2	16.2Phon	ˈsa:ri ði:z ˈɪrɪŋz a:r ˈkɜ:rəntli aʊt ʌv sta:k	Phon	
Shopping	16.3	16.3Viet	Xin lỗi, sợi dây chuyền này hết hàng rồi.	Viet	
Shopping	16.3	16.3Eng	Sorry, this necklace is currently out of stock.	Eng	https://luandai123.github.io/English_Daily/3.16.3-Eng.mp3
Shopping	16.3	16.3Phon	ˈsa:ri ðɪs ˈnɛkləs ɪz ˈkɜ:rəntli aʊt ʌv sta:k	Phon	
Shopping	16.4	16.4Viet	Xin lỗi, cái ví (bóp) này hết hàng rồi.	Viet	
Shopping	16.4	16.4Eng	Sorry, this purse is currently out of stock.	Eng	https://luandai123.github.io/English_Daily/3.16.4-Eng.mp3
Shopping	16.4	16.4Phon	ˈsa:ri ðɪs pɜ:rs ɪz ˈkɜ:rəntli aʊt ʌv sta:k	Phon	
Shopping	17	17Struc	DO YOU ACCEPT + NOUN? /Bạn có nhận… không?/	Struc	
Shopping	17.1	17.1Viet	Bạn có nhận tiền mặt không?	Viet	
Shopping	17.1	17.1Eng	Do you accept cash?	Eng	https://luandai123.github.io/English_Daily/3.17.1-Eng.mp3
Shopping	17.1	17.1Phon	du: ju: əkˈsɛpt kæʃ	Phon	
Shopping	17.2	17.2Viet	Bạn có nhận thẻ tín dụng không?	Viet	
Shopping	17.2	17.2Eng	Do you accept credit card?	Eng	https://luandai123.github.io/English_Daily/3.17.2-Eng.mp3
Shopping	17.2	17.2Phon	du: ju: əkˈsɛpt ˈkrɛdɪt ka:rd	Phon	
Shopping	17.3	17.3Viet	Bạn có nhận thẻ ghi nợ không?	Viet	
Shopping	17.3	17.3Eng	Do you accept debit card?	Eng	https://luandai123.github.io/English_Daily/3.17.3-Eng.mp3
Shopping	17.3	17.3Phon	du: ju: əkˈsɛpt ˈdɛbɪt ka:rd	Phon	
Shopping	18	18Struc	TRANSFER THE MONEY TO… /Chuyển tiền cho…/	Struc	
Shopping	18.1	18.1Viet	Làm ơn hãy chuyển số tiền vào tài khoản của tôi.	Viet	
Shopping	18.1	18.1Eng	Please transfer the money to my account.	Eng	https://luandai123.github.io/English_Daily/3.18.1-Eng.mp3
Shopping	18.1	18.1Phon	pli:z ˈtrænsfər ðə ˈmʌni: tu: maɪ əˈkaʊnt	Phon	
Shopping	18.2	18.2Viet	Tôi sẽ chuyển tiền vào tài khoản ngân hàng của anh.	Viet	
Shopping	18.2	18.2Eng	I will transfer money to your bank account.	Eng	https://luandai123.github.io/English_Daily/3.18.2-Eng.mp3
Shopping	18.2	18.2Phon	aɪ wɪl ˈtrænsfər ˈmʌni: tu: jʊər bæŋk əˈkaʊnt	Phon	
Shopping	18.3	18.3Viet	Tôi sẽ chuyển tiền ngay.	Viet	
Shopping	18.3	18.3Eng	I will transfer money immediately.	Eng	https://luandai123.github.io/English_Daily/3.18.3-Eng.mp3
Shopping	18.3	18.3Phon	aɪ wɪl ˈtrænsfər ˈmʌni: ɪˈmi:diətli	Phon	
Shopping	18.4	18.4Viet	Anh ấy đã chuyển 500,000 VND vào tài khoản của tôi.	Viet	
Shopping	18.4	18.4Eng	He transferred 500,000 VND to my bank account.	Eng	https://luandai123.github.io/English_Daily/3.18.4-Eng.mp3
Shopping	18.4	18.4Phon	hi: trænˈsfɜ:rd faɪv ˈhʌndrəd ˈθaʊzənd viɛtˈnæm da:ŋ tu: maɪ bæŋk əˈkaʊnt	Phon	
Shopping	18.5	18.5Viet	Cô ấy đã chuyển khoản 1 triệu đồng vào tài khoản của tôi.	Viet	
Shopping	18.5	18.5Eng	She transferred 1 million VND to my bank account.	Eng	https://luandai123.github.io/English_Daily/3.18.5-Eng.mp3
Shopping	18.5	18.5Phon	ʃi: trænsˈfɜ:rd wʌn ˈmɪljən viɛtˈnæm da:ŋ tu: maɪ bæŋk əˈkaʊnt	Phon	
Shopping	19	19Struc	SHIPPING IS FREE FOR PURCHASE OVER + GIÁ TIỀN /Miễn phí vận chuyển cho hàng mua trên.../	Struc	
Shopping	19.1	19.1Viet	Miễn phí vận chuyển cho hàng mua trên 500,000 VND.	Viet	
Shopping	19.1	19.1Eng	Shipping is free for purchase over 500,000 VND.	Eng	https://luandai123.github.io/English_Daily/3.19.1-Eng.mp3
Shopping	19.1	19.1Phon	ˈʃɪpɪŋ ɪz fri: fɔ:r ˈpɜ:rʧəs ˈoʊvər faɪv ˈhʌndrəd ˈθaʊzənd viɛtˈnæm da:ŋ	Phon	
Shopping	19.2	19.2Viet	Miễn phí vận chuyển cho hàng mua trên 1 triệu đồng.	Viet	
Shopping	19.2	19.2Eng	Shipping is free for purchase over 1,000,000 VND.	Eng	https://luandai123.github.io/English_Daily/3.19.2-Eng.mp3
Shopping	19.2	19.2Phon	ˈʃɪpɪŋ ɪz fri: fɔ:r ˈpɜ:rʧəs ˈoʊvər wʌn ˈmɪljən viɛtˈnæm da:ŋ	Phon	
Shopping	19.3	19.3Viet	Miễn phí vận chuyển cho hàng mua trên 200 đô la.	Viet	
Shopping	19.3	19.3Eng	Shipping is free for purchase over 200 dollars.	Eng	https://luandai123.github.io/English_Daily/3.19.3-Eng.mp3
Shopping	19.3	19.3Phon	ˈʃɪpɪŋ ɪz fri: fɔ:r ˈpɜ:rʧəs ˈoʊvər tu: ˈhʌndrəd ˈda:lərz	Phon	
Shopping	20	20Struc	EXCUSE ME, CAN YOU TELL ME WHERE THE + NOUN + SECTION IS? /Xin lỗi, cho tôi biết chỗ bán… ở đâu?/	Struc	
Shopping	20.1	20.1Viet	Xin lỗi cho tôi biết chỗ bán rau củ ở đâu ạ?	Viet	
Shopping	20.1	20.1Eng	Excuse me, can you tell me where the fruit and vegetables section is?	Eng	https://luandai123.github.io/English_Daily/3.20.1-Eng.mp3
Shopping	20.1	20.1Phon	ɪkˈskju:z mi: kæn ju tɛl mi: wɛr ðə fru:t ænd ˈvɛʤtəbəlz ˈsɛkʃən ɪz	Phon	
Shopping	20.2	20.2Viet	Xin lỗi cho tôi biết các sản phẩm từ sữa bán ở đâu ạ?	Viet	
Shopping	20.2	20.2Eng	Excuse me, can you tell me where the dairy products section is?	Eng	https://luandai123.github.io/English_Daily/3.20.2-Eng.mp3
Shopping	20.2	20.2Phon	ɪkˈskju:z mi: kæn ju tɛl mi: wɛr ðə ˈdɛri ˈpra:dʌkts ˈsɛkʃən ɪz	Phon	
Shopping	20.3	20.3Viet	Xin lỗi, cho tôi biết các sản phẩm sức khoẻ và làm đẹp ở đâu ạ?	Viet	
Shopping	20.3	20.3Eng	Excuse me, can you tell me where health and beauty section is?	Eng	https://luandai123.github.io/English_Daily/3.20.3-Eng.mp3
Shopping	20.3	20.3Phon	ɪkˈskju:z mi: kæn ju tɛl mi: wɛr hɛlθ ænd ˈbju:ti ˈsɛkʃən ɪz	Phon	
Shopping	20.4	20.4Viet	Xin lỗi, cho tôi biết chỗ bán thịt và cá ở đâu ạ?	Viet	
Shopping	20.4	20.4Eng	Excuse me, can you tell me where meat and fish section is?	Eng	https://luandai123.github.io/English_Daily/3.20.4-Eng.mp3
Shopping	20.4	20.4Phon	ɪkˈskju:z mi: kæn ju tɛl mi: wɛr mi:t ænd fɪʃ ˈsɛkʃən ɪz	Phon	
Shopping	20.5	20.5Viet	Xin lỗi, cho tôi biết chỗ bán bánh kẹo ở đâu ạ?	Viet	
Shopping	20.5	20.5Eng	Excuse me, can you tell me where sweets and snacks section is?	Eng	https://luandai123.github.io/English_Daily/3.20.5-Eng.mp3
Shopping	20.5	20.5Phon	ɪkˈskju:z mi: kæn ju tɛl mi: wɛr swi:ts ænd snæks ˈsɛkʃən ɪz	Phon	
Shopping	20.6	20.6Viet	Xin lỗi, cho tôi biết chỗ bán thực phẩm đóng hộp ở đâu ạ?	Viet	
Shopping	20.6	20.6Eng	Excuse me, can you tell me where canned food section is?	Eng	https://luandai123.github.io/English_Daily/3.20.6-Eng.mp3
Shopping	20.6	20.6Phon	ɪkˈskju:z mi: kæn ju tɛl mi: wɛr kænd fu:d ˈsɛkʃən ɪz	Phon	
Shopping	21	21Struc	I ENJOY SHOPPING..., BECAUSE IT’S... /Tôi thích mua sắm ở..., Bởi vì nó…/	Struc	
Shopping	21.1	21.1Viet	Tôi thích mua hàng trên Internet vì nó tiện.	Viet	
Shopping	21.1	21.1Eng	I enjoy shopping online, because it’s convenient.	Eng	https://luandai123.github.io/English_Daily/3.21.1-Eng.mp3
Shopping	21.1	21.1Phon	aɪ ɪnˈʤɔɪ ˈʃa:pɪŋ ˈa:nlaɪn bɪˈkəz ɪts kənˈvi:njənt	Phon	
Shopping	21.2	21.2Viet	Tôi thích mua hàng trên Internet vì nó nhanh.	Viet	
Shopping	21.2	21.2Eng	I enjoy shopping online, because it’s fast.	Eng	https://luandai123.github.io/English_Daily/3.21.2-Eng.mp3
Shopping	21.2	21.2Phon	aɪ ɪnˈʤɔɪ ˈʃa:pɪŋ ˈa:nlaɪn bɪˈkəz ɪts fæst	Phon	
Shopping	21.3	21.3Viet	Tôi thích mua hàng tại cửa hàng vì tôi có thể trả giá.	Viet	
Shopping	21.3	21.3Eng	I enjoy shopping in bricks-and-mortar stores because I can bargain.	Eng	https://luandai123.github.io/English_Daily/3.21.3-Eng.mp3
Shopping	21.3	21.3Phon	aɪ ɪnˈʤɔɪ ˈʃa:pɪŋ ɪn brɪks ænd ˈmɔ:rtər stɔ:rz bɪˈkəz aɪ kæn ˈba:rgən	Phon	
Shopping	21.4	21.4Viet	Tôi thích mua hàng tại cửa hàng vì chất lượng được đảm bảo.	Viet	
Shopping	21.4	21.4Eng	I enjoy shopping in bricks-and-mortar stores because goods can be guaranteed.	Eng	https://luandai123.github.io/English_Daily/3.21.4-Eng.mp3
Shopping	21.4	21.4Phon	aɪ ɪnˈʤɔɪ ˈʃa:pɪŋ ɪn brɪks ænd ˈmɔ:rtər stɔ:rz bɪˈkəz gʊdz kæn bi: ˌgærənˈti:d	Phon	
Shopping	21.5	21.5Viet	Tôi thích mua hàng tại cửa hàng vì có nhiều hàng giả trên mạng.	Viet	
Shopping	21.5	21.5Eng	I enjoy shopping in bricks-and-mortar stores because there are many fake goods online.	Eng	https://luandai123.github.io/English_Daily/3.21.5-Eng.mp3
Shopping	21.5	21.5Phon	aɪ ɪnˈʤɔɪ ˈʃa:pɪŋ ɪn brɪks ænd ˈmɔ:rtər stɔ:rz bɪˈkəz ðɛr a:r ˈmɛni feɪk gʊdz ˈa:nlaɪn	Phon	
Shopping	22	22Struc	CAN I RECEIVE A REFUND IF…? /Tôi có thể được hoàn tiền nếu…?/	Struc	
Shopping	22.1	22.1Viet	Tôi có thể được hoàn tiền nếu tôi không hài lòng với sản phẩm tôi mua không?	Viet	
Shopping	22.1	22.1Eng	Can I receive a refund if I am not satisfied with the products I buy?	Eng	https://luandai123.github.io/English_Daily/3.22.1-Eng.mp3
Shopping	22.1	22.1Phon	kæn aɪ rɪˈsi:v ə ˈri:fʌnd ɪf aɪ æm na:t ˈsætɪsfaɪd wɪð ðə ˈpra:dʌkts aɪ baɪ	Phon	
Shopping	22.2	22.2Viet	Tôi có thể được hoàn tiền nếu sản phẩm bị hư không?	Viet	
Shopping	22.2	22.2Eng	Can I receive a refund if the product is damaged?	Eng	https://luandai123.github.io/English_Daily/3.22.2-Eng.mp3
Shopping	22.2	22.2Phon	kæn aɪ rɪˈsi:v ə ˈri:fʌnd ɪf ðə ˈpra:dʌkt ɪz ˈdæmɪʤd	Phon	
Shopping	22.3	22.3Viet	Tôi có thể được hoàn tiền nếu chất lượng không đảm bảo không?	Viet	
Shopping	22.3	22.3Eng	Can I receive a refund if the quality of the product is not guaranteed?	Eng	https://luandai123.github.io/English_Daily/3.22.3-Eng.mp3
Shopping	22.3	22.3Phon	kæn aɪ rɪˈsi:v ə ˈri:fʌnd ɪf ðə ˈkwa:ləti ʌv ðə ˈpra:dʌkt ɪz na:t ˌgærənˈti:d	Phon	
Shopping	23	23Struc	HAVE YOU GOT ANYTHING…? /Bạn có cái nào…?/	Struc	
Shopping	23.1	23.1Viet	Bạn có cái nào rẻ hơn không?	Viet	
Shopping	23.1	23.1Eng	Have you got anything cheaper?	Eng	https://luandai123.github.io/English_Daily/3.23.1-Eng.mp3
Shopping	23.1	23.1Phon	hæv ju: ga:t ˈɛni:θɪŋ ˈʧi:pər	Phon	
Shopping	23.2	23.2Viet	Bạn có cái nào rộng hơn không?	Viet	
Shopping	23.2	23.2Eng	Have you got anything larger?	Eng	https://luandai123.github.io/English_Daily/3.23.2-Eng.mp3
Shopping	23.2	23.2Phon	hæv ju: ga:t ˈɛni:θɪŋ ˈla:rʤər	Phon	
Shopping	23.3	23.3Viet	Bạn có cái nào nhỏ hơn không?	Viet	
Shopping	23.3	23.3Eng	Have you got anything smaller?	Eng	https://luandai123.github.io/English_Daily/3.23.3-Eng.mp3
Shopping	23.3	23.3Phon	hæv ju: ga:t ˈɛni:θɪŋ ˈsma:lər	Phon	
Shopping	23.4	23.4Viet	Bạn có cái nào màu sắc khác không?	Viet	
Shopping	23.4	23.4Eng	Have you got anything with different colors?	Eng	https://luandai123.github.io/English_Daily/3.23.4-Eng.mp3
Shopping	23.4	23.4Phon	hæv ju: ga:t ˈɛni:θɪŋ wɪð ˈdɪfərənt ˈkʌlərz	Phon	
Shopping	24	24Struc	I WOULD LIKE TO… /Tôi muốn…/	Struc	
Shopping	24.1	24.1Viet	Tôi muốn trả cái này.	Viet	
